Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Margin,Team Differential,Opponent Differential,Game Type
11/13/15,Jackson State,Away,52,Oregon,80,Home,,Loss,-28,3.66,9.28,Division 1
11/13/15,Oregon,Home,80,Jackson State,52,Away,,Win,28,9.28,3.66,Division 1
11/13/15,Missouri State,Away,65,Oral Roberts,80,Home,,Loss,-15,-5.33,-0.83,Division 1
11/13/15,Oral Roberts,Home,80,Missouri State,65,Away,,Win,15,-0.83,-5.33,Division 1
11/13/15,Pennsylvania,Home,76,Robert Morris,75,Away,,Win,1,-3.00,-5.68,Division 1
11/13/15,Portland,Home,98,Oregon Tech,81,Away,,Win,17,-1.42,0.00,Non Division 1
11/13/15,North Carolina A&T,Away,40,Purdue,81,Home,,Loss,-41,-8.77,13.07,Division 1
11/13/15,Robert Morris,Away,75,Pennsylvania,76,Home,,Loss,-1,-5.68,-3.00,Division 1
11/13/15,Oregon Tech,Away,81,Portland,98,Home,,Loss,-17,0.00,-1.42,Non Division 1
11/13/15,Old Dominion,Neutral,67,Niagara,50,,Neutral Site,Win,17,5.79,-7.63,Division 1
11/13/15,Massachusetts-Lowell,Away,57,Northwestern,79,Home,,Loss,-22,-6.21,6.00,Division 1
11/13/15,Northwestern,Home,79,Massachusetts-Lowell,57,Away,,Win,22,6.00,-6.21,Division 1
11/13/15,Cal State Northridge,Away,71,Northern Illinois,83,Home,,Loss,-12,-3.93,5.65,Division 1
11/13/15,Northern Illinois,Home,83,Cal State Northridge,71,Away,,Win,12,5.65,-3.93,Division 1
11/13/15,Notre Dame,Home,87,Saint Francis (PA),56,Away,,Win,31,6.93,-2.38,Division 1
11/13/15,Tennessee-Martin,Away,57,Oklahoma State,91,Home,,Loss,-34,1.84,-0.13,Division 1
11/13/15,Niagara,Neutral,50,Old Dominion,67,,Neutral Site,Loss,-17,-7.63,5.79,Division 1
11/13/15,Saint Francis (PA),Away,56,Notre Dame,87,Home,,Loss,-31,-2.38,6.93,Division 1
11/13/15,Oklahoma State,Home,91,Tennessee-Martin,57,Away,,Win,34,-0.13,1.84,Division 1
11/13/15,Saint Joseph's,Home,82,Drexel,81,Away,,Win,1,8.79,-7.34,Division 1
11/13/15,Saint Mary's (CA),Home,80,San Francisco State,56,Away,,Win,24,14.79,0.00,Non Division 1
11/13/15,Sacred Heart,Neutral,76,Quinnipiac,64,,Neutral Site,Win,12,-3.83,-5.48,Division 1
11/13/15,Drexel,Away,81,Saint Joseph's,82,Home,,Loss,-1,-7.34,8.79,Division 1
11/13/15,San Francisco State,Away,56,Saint Mary's (CA),80,Home,,Loss,-24,0.00,14.79,Non Division 1
11/13/15,Illinois State,Away,60,San Diego State,71,Home,,Loss,-11,1.72,7.10,Division 1
11/13/15,San Diego State,Home,71,Illinois State,60,Away,,Win,11,7.10,1.72,Division 1
11/13/15,Brown,Away,65,Saint Peter's,77,Home,,Loss,-12,-4.15,-0.41,Division 1
